id,TP,LN,PN,Kendall_tau,dis,edit_simlar
000,12,17,13,0.9696969696969696,7,0.7666666666666666
001,10,12,10,0.911111111111111,4,0.8181818181818181
002,6,9,7,0.8666666666666666,4,0.75
003,4,7,4,0.3333333333333334,4,0.6363636363636364
004,7,11,12,0.9047619047619049,8,0.6521739130434783
005,3,14,7,1.0,11,0.47619047619047616
006,5,12,6,0.9999999999999999,7,0.6111111111111112
007,6,9,7,0.9999999999999999,3,0.8125
008,7,7,8,1.0,1,0.9333333333333333
009,4,13,27,1.0,23,0.42500000000000004
010,9,15,14,0.8333333333333334,11,0.6206896551724138
011,2,5,2,1.0,3,0.5714285714285714
012,5,7,8,0.7999999999999999,4,0.7333333333333334
013,4,10,4,0.6666666666666669,6,0.5714285714285714
014,3,8,3,1.0,5,0.5454545454545454
016,3,8,7,1.0,6,0.6
017,4,7,4,1.0,3,0.7272727272727273
018,7,10,10,0.9047619047619049,4,0.8
019,3,6,3,1.0,3,0.6666666666666667
020,6,12,9,0.9999999999999999,7,0.6666666666666667
021,6,10,9,0.9999999999999999,4,0.7894736842105263
022,7,12,13,0.9047619047619049,8,0.6799999999999999
023,5,6,7,0.9999999999999999,3,0.7692307692307692
024,5,8,6,0.9999999999999999,3,0.7857142857142857
025,6,9,10,0.8666666666666666,6,0.6842105263157895
026,7,12,7,0.9047619047619049,6,0.6842105263157895
029,11,14,18,0.9272727272727274,11,0.65625
030,7,10,7,1.0,3,0.8235294117647058
031,4,5,4,1.0,1,0.8888888888888888
032,6,7,8,0.9999999999999999,3,0.8
033,8,21,8,0.9999999999999998,13,0.5517241379310345
034,4,5,6,1.0,3,0.7272727272727273
035,2,10,8,1.0,9,0.5
038,11,18,18,0.6727272727272727,11,0.6944444444444444
039,7,22,35,0.7142857142857143,32,0.4385964912280702
040,3,3,3,1.0,0,1.0
042,4,13,4,1.0,9,0.47058823529411764
043,7,16,8,1.0,9,0.625
045,7,19,12,1.0,16,0.4838709677419355
046,7,7,11,1.0,4,0.7777777777777778
047,0,1,2,0.0,2,0.33333333333333337
048,2,2,2,1.0,0,1.0
049,6,7,8,0.8666666666666666,3,0.8
050,9,17,30,0.611111111111111,26,0.44680851063829785
051,4,10,4,1.0,6,0.5714285714285714
052,7,25,8,0.8095238095238096,21,0.36363636363636365
053,6,17,8,0.8666666666666666,12,0.52
054,4,5,4,1.0,1,0.8888888888888888
055,4,5,11,1.0,7,0.5625
056,4,7,4,1.0,3,0.7272727272727273
057,6,9,6,0.9999999999999999,3,0.8
058,8,13,12,0.7857142857142856,9,0.64
059,3,9,4,1.0,7,0.46153846153846156
060,9,10,10,0.9444444444444445,3,0.85
061,3,4,3,1.0,1,0.8571428571428572
062,6,9,10,0.9999999999999999,7,0.631578947368421
063,3,4,3,1.0,1,0.8571428571428572
064,3,5,3,1.0,2,0.75
065,4,7,4,1.0,3,0.7272727272727273
066,4,5,4,1.0,1,0.8888888888888888
067,6,8,6,0.9999999999999999,2,0.8571428571428572
068,6,9,6,0.9999999999999999,3,0.8
069,10,15,17,0.9999999999999999,9,0.71875
070,4,20,4,1.0,16,0.33333333333333337
071,4,6,5,1.0,3,0.7272727272727273
072,6,9,7,0.9999999999999999,4,0.75
073,4,8,4,1.0,4,0.6666666666666667
074,7,20,28,1.0,25,0.47916666666666663
075,3,11,5,1.0,8,0.5
076,12,17,18,0.7272727272727272,11,0.6857142857142857
077,6,9,7,0.9999999999999999,3,0.8125
078,3,6,4,1.0,4,0.6
079,9,16,11,1.0,8,0.7037037037037037
080,8,10,11,0.8571428571428571,7,0.6666666666666667
081,7,10,9,1.0,4,0.7894736842105263
082,6,9,9,0.9999999999999999,5,0.7222222222222222
083,4,5,6,1.0,3,0.7272727272727273
084,7,9,7,1.0,2,0.875
085,2,6,2,1.0,4,0.5
086,1,3,3,0.0,2,0.6666666666666667
087,8,16,8,0.8571428571428571,9,0.625
088,6,15,19,0.8666666666666666,15,0.5588235294117647
089,8,10,11,0.9999999999999998,5,0.7619047619047619
090,4,5,4,1.0,1,0.8888888888888888
091,8,9,9,0.9999999999999998,1,0.9444444444444444
092,4,14,13,0.6666666666666669,12,0.5555555555555556
093,6,7,6,0.8666666666666666,2,0.8461538461538461
094,13,17,16,0.6410256410256409,10,0.696969696969697
095,2,6,3,1.0,4,0.5555555555555556
096,7,9,8,1.0,3,0.8235294117647058
097,5,18,6,0.9999999999999999,13,0.45833333333333337
